Genome,Study,Country,Region,Year,Accession,Database,Continent
PA0159-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059382,varDB,Africa
PA0160-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059386,varDB,Africa
PA0161-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063598,varDB,Africa
PA0163-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055495,varDB,Africa
PA0165-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059378,varDB,Africa
PA0167-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059407,varDB,Africa
PA0168-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063547,varDB,Africa
PA0169-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063549,varDB,Africa
PA0172-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063596,varDB,Africa
PA0173-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063617,varDB,Africa
PA0176-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063540,varDB,Africa
PA0177-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059384,varDB,Africa
PA0178-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059389,varDB,Africa
PA0179-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059388,varDB,Africa
PA0180-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063529,varDB,Africa
PA0182-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055503,varDB,Africa
PA0183-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055492,varDB,Africa
PA0184-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055488,varDB,Africa
PA0185-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063555,varDB,Africa
PA0186-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063606,varDB,Africa
PA0187-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059403,varDB,Africa
PA0188-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063538,varDB,Africa
PA0189-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059411,varDB,Africa
PA0191-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059408,varDB,Africa
PA0193-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063611,varDB,Africa
PA0195-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063543,varDB,Africa
PA0197-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063541,varDB,Africa
PA0198-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063532,varDB,Africa
PA0199-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059385,varDB,Africa
PA0200-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059396,varDB,Africa
PA0201-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063531,varDB,Africa
PA0202-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063613,varDB,Africa
PA0203-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063533,varDB,Africa
PA0204-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063551,varDB,Africa
PA0205-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059404,varDB,Africa
PA0206-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063612,varDB,Africa
PA0207-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059397,varDB,Africa
PA0208-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059387,varDB,Africa
PA0209-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059398,varDB,Africa
PA0210-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059410,varDB,Africa
PA0211-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059409,varDB,Africa
PA0212-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059412,varDB,Africa
PA0213-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059390,varDB,Africa
PA0214-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055480,varDB,Africa
PA0215-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055499,varDB,Africa
PA0216-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR059401,varDB,Africa
PA0217-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055500,varDB,Africa
PA0218-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR063536,varDB,Africa
PA0220-C,1026-PF-GN-CONWAY,Guinea,Nzerekore,2011,ERR055477,varDB,Africa
