Genome,Study,Country,Region,Year,Accession,Database,Continent
PF0493-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR114367,varDB,Africa
PF0494-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2011,ERR114404,varDB,Africa
PF0499-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2011,ERR114376,varDB,Africa
PF0502-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2011,ERR069570,varDB,Africa
PF0504-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR063568,varDB,Africa
PF0507-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2011,ERR114405,varDB,Africa
PF0510-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2011,ERR069571,varDB,Africa
PF0511-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2011,ERR114408,varDB,Africa
PF0512-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR063565,varDB,Africa
PF0513-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2011,ERR211470,varDB,Africa
PF0514-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR114378,varDB,Africa
PF0515-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2011,ERR114362,varDB,Africa
PF0518-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2011,ERR114352,varDB,Africa
PF0519-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2011,ERR211457,varDB,Africa
PF0522-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR063562,varDB,Africa
PF0524-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2011,ERR114380,varDB,Africa
PF0525-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR114384,varDB,Africa
PF0529-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR114355,varDB,Africa
PF0531-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2009,ERR063564,varDB,Africa
PF0539-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2011,ERR114365,varDB,Africa
PF0542-C,1017-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2010,ERR114388,varDB,Africa
PF0554-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2011,ERR234547,varDB,Africa
PF0554-Cx,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2011,ERR484670,varDB,Africa
PF0556-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2011,ERR234548,varDB,Africa
PF0557-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2011,ERR234549,varDB,Africa
PF0559-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2011,ERR234550,varDB,Africa
PF0560-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2011,ERR234551,varDB,Africa
PF0560-Cx,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2011,ERR484674,varDB,Africa
PF0562-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2011,ERR234552,varDB,Africa
PF0578-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR248967,varDB,Africa
PF0583-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR248968,varDB,Africa
PF0584-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR234555,varDB,Africa
PF0587-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR337556,varDB,Africa
PF0590-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR234553,varDB,Africa
PF0596-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR343116,varDB,Africa
PF0603-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR343095,varDB,Africa
PF0609-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR343118,varDB,Africa
PF0610-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR343097,varDB,Africa
PF0613-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR343119,varDB,Africa
PF0614-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR343105,varDB,Africa
PF0617-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR340459,varDB,Africa
PF0619-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR343106,varDB,Africa
PF0620-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR343107,varDB,Africa
PF0621-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR340460,varDB,Africa
PF0624-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR343108,varDB,Africa
PF0625-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR343100,varDB,Africa
PF0627-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR340462,varDB,Africa
PF0628-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR343121,varDB,Africa
PF0629-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR343101,varDB,Africa
PF0632-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR343123,varDB,Africa
PF0634-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR343124,varDB,Africa
PF0638-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR343111,varDB,Africa
PF0641-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR343112,varDB,Africa
PF0643-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR343113,varDB,Africa
PF0647-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR343125,varDB,Africa
PF0650-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR343126,varDB,Africa
PF0653-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR343114,varDB,Africa
PF0655-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2012,ERR343103,varDB,Africa
PF0663-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2013,ERR343104,varDB,Africa
PF0664-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2013,ERR340464,varDB,Africa
PF0666-C,1083-PF-GH-CONWAY,Ghana,Brong Ahafo,2013,ERR340465,varDB,Africa
PF0667-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376187,varDB,Africa
PF0669-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR403193,varDB,Africa
PF0670-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376211,varDB,Africa
PF0671-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376199,varDB,Africa
PF0672-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376200,varDB,Africa
PF0674-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR403195,varDB,Africa
PF0675-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR403196,varDB,Africa
PF0676-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376212,varDB,Africa
PF0679-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376213,varDB,Africa
PF0680-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376214,varDB,Africa
PF0681-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376201,varDB,Africa
PF0683-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376215,varDB,Africa
PF0684-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376216,varDB,Africa
PF0685-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376203,varDB,Africa
PF0687-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR403197,varDB,Africa
PF0689-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376189,varDB,Africa
PF0690-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376218,varDB,Africa
PF0691-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376204,varDB,Africa
PF0692-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376190,varDB,Africa
PF0693-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR403198,varDB,Africa
PF0694-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376191,varDB,Africa
PF0695-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376219,varDB,Africa
PF0696-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR403199,varDB,Africa
PF0697-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376192,varDB,Africa
PF0698-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376205,varDB,Africa
PF0699-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376220,varDB,Africa
PF0700-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376206,varDB,Africa
PF0701-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR403200,varDB,Africa
PF0703-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376207,varDB,Africa
PF0706-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR403202,varDB,Africa
PF0707-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376193,varDB,Africa
PF0708-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376194,varDB,Africa
PF0711-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376208,varDB,Africa
PF0712-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR403203,varDB,Africa
PF0715-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376209,varDB,Africa
PF0718-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376197,varDB,Africa
PF0722-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376210,varDB,Africa
PF0723-C,1083-PF-GH-CONWAY,Ghana,Upper East,2012,ERR376198,varDB,Africa
PF0725-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450098,varDB,Africa
PF0727-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450089,varDB,Africa
PF0728-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450090,varDB,Africa
PF0729-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450052,varDB,Africa
PF0730-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450042,varDB,Africa
PF0731-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450065,varDB,Africa
PF0732-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450102,varDB,Africa
PF0733-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450104,varDB,Africa
PF0734-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450106,varDB,Africa
PF0735-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450121,varDB,Africa
PF0736-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450046,varDB,Africa
PF0737-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450060,varDB,Africa
PF0738-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450072,varDB,Africa
PF0739-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450036,varDB,Africa
PF0740-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450038,varDB,Africa
PF0741-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450114,varDB,Africa
PF0742-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450053,varDB,Africa
PF0743-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450075,varDB,Africa
PF0747-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450097,varDB,Africa
PF0748-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450123,varDB,Africa
PF0749-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450085,varDB,Africa
PF0750-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450035,varDB,Africa
PF0751-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450112,varDB,Africa
PF0752-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450101,varDB,Africa
PF0753-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450115,varDB,Africa
PF0754-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450116,varDB,Africa
PF0755-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450066,varDB,Africa
PF0756-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450103,varDB,Africa
PF0757-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450094,varDB,Africa
PF0758-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450120,varDB,Africa
PF0759-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450057,varDB,Africa
PF0760-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450083,varDB,Africa
PF0761-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450034,varDB,Africa
PF0762-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450086,varDB,Africa
PF0763-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450049,varDB,Africa
PF0764-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450073,varDB,Africa
PF0765-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450039,varDB,Africa
PF0766-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450092,varDB,Africa
PF0767-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450055,varDB,Africa
PF0768-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450067,varDB,Africa
PF0771-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450069,varDB,Africa
PF0772-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450108,varDB,Africa
PF0773-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450047,varDB,Africa
PF0775-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450100,varDB,Africa
PF0777-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450074,varDB,Africa
PF0778-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450062,varDB,Africa
PF0780-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450078,varDB,Africa
PF0781-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450044,varDB,Africa
PF0782-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450080,varDB,Africa
PF0783-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450122,varDB,Africa
PF0784-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450109,varDB,Africa
PF0785-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450099,varDB,Africa
PF0787-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450050,varDB,Africa
PF0789-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450040,varDB,Africa
PF0790-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450054,varDB,Africa
PF0791-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450117,varDB,Africa
PF0792-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450118,varDB,Africa
PF0793-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450079,varDB,Africa
PF0796-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450058,varDB,Africa
PF0798-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450048,varDB,Africa
PF0799-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450037,varDB,Africa
PF0800-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450061,varDB,Africa
PF0801-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450041,varDB,Africa
PF0802-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450063,varDB,Africa
PF0803-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450076,varDB,Africa
PF0804-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450119,varDB,Africa
PF0805-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450045,varDB,Africa
PF0806-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450081,varDB,Africa
PF0807-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450107,varDB,Africa
PF0808-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450070,varDB,Africa
PF0809-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450111,varDB,Africa
PF0811-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450051,varDB,Africa
PF0814-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450064,varDB,Africa
PF0815-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450077,varDB,Africa
PF0816-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450093,varDB,Africa
PF0817-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450095,varDB,Africa
PF0818-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450068,varDB,Africa
PF0819-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450082,varDB,Africa
PF0820-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450071,varDB,Africa
PF0821-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450059,varDB,Africa
PF0822-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450110,varDB,Africa
PF0823-C,1094-PF-GH-AMENGA-ETEGO,Ghana,Upper East,2013,ERR450084,varDB,Africa
9106,PF3K,Kenya,,,ERS166380,varDB,Africa
10936,PF3K,Kenya,,,ERS166383,varDB,Africa
10975,PF3K,Kenya,,,ERS166385,varDB,Africa
9605,PF3K,Kenya,,,ERS166379,varDB,Africa
6816,PF3K,Kenya,,,ERS166374,varDB,Africa
11019,PF3K,Kenya,,,ERS166376,varDB,Africa
9775,PF3K,Kenya,,,ERS166378,varDB,Africa
9215,PF3K,Kenya,,,ERS166377,varDB,Africa
PH0047-Cx,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2009,ERR039880,varDB,Asia
PH0051-Cx,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2009,ERR039881,varDB,Asia
PH0052-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2009,ERR015380,varDB,Asia
PH0054-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2009,ERR018920,varDB,Asia
PH0055-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2009,ERR015437,varDB,Asia
PH0056-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2009,ERR015327,varDB,Asia
PH0057-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2009,ERR015419,varDB,Asia
PH0058-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2009,ERR018919,varDB,Asia
PH0059-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2009,ERR015401,varDB,Asia
PH0060-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2009,ERR015430,varDB,Asia
PH0063-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2009,ERR018940,varDB,Asia
PH0064-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2009,ERR018972,varDB,Asia
PH0105-C,1031-PF-SEA-PLOWE,Cambodia,Pailin,2009,ERR022902,varDB,Asia
PH0108-CW,1031-PF-SEA-PLOWE,Cambodia,Pailin,2009,ERR036560,varDB,Asia
PH0112-C,1031-PF-SEA-PLOWE,Cambodia,Pailin,2009,ERR022850,varDB,Asia
PH0114-C,1031-PF-SEA-PLOWE,Cambodia,Pailin,2009,ERR029970,varDB,Asia
PH0117-C,1031-PF-SEA-PLOWE,Cambodia,Pailin,2009,ERR031712,varDB,Asia
PH0119-C,1031-PF-SEA-PLOWE,Cambodia,Pailin,2009,ERR031077,varDB,Asia
PH0120-C,1031-PF-SEA-PLOWE,Cambodia,Pailin,2009,ERR022903,varDB,Asia
PH0121-CW,1031-PF-SEA-PLOWE,Cambodia,Pailin,2008,ERR036561,varDB,Asia
PH0122-CW,1031-PF-SEA-PLOWE,Cambodia,Pailin,2008,ERR036562,varDB,Asia
PH0123-CW,1031-PF-SEA-PLOWE,Cambodia,Pailin,2008,ERR036563,varDB,Asia
PH0124-CW,1031-PF-SEA-PLOWE,Cambodia,Pailin,2008,ERR036564,varDB,Asia
PH0125-CW,1031-PF-SEA-PLOWE,Cambodia,Pailin,2008,ERR036566,varDB,Asia
PH0126-CW,1031-PF-SEA-PLOWE,Cambodia,Pailin,2008,ERR036567,varDB,Asia
PH0130-CW,1031-PF-SEA-PLOWE,Cambodia,Pailin,2008,ERR036572,varDB,Asia
PH0131-CW,1031-PF-SEA-PLOWE,Cambodia,Pailin,2008,ERR036573,varDB,Asia
PH0132-CW,1031-PF-SEA-PLOWE,Cambodia,Pailin,2008,ERR036574,varDB,Asia
PH0134-C,1031-PF-SEA-PLOWE,Cambodia,Pailin,2008,ERR022852,varDB,Asia
PH0136-C,1031-PF-SEA-PLOWE,Cambodia,Pailin,2008,ERR022853,varDB,Asia
PH0138-CW,1031-PF-SEA-PLOWE,Cambodia,Battambang,2008,ERR036576,varDB,Asia
PH0140-CW,1031-PF-SEA-PLOWE,Cambodia,Battambang,2009,ERR036579,varDB,Asia
PH0141-CW,1031-PF-SEA-PLOWE,Cambodia,Battambang,2009,ERR036580,varDB,Asia
PH0142-CW,1031-PF-SEA-PLOWE,Cambodia,Battambang,2008,ERR036581,varDB,Asia
PH0143-CW,1031-PF-SEA-PLOWE,Cambodia,Battambang,2009,ERR036582,varDB,Asia
PH0144-CW,1031-PF-SEA-PLOWE,Cambodia,Battambang,2009,ERR036584,varDB,Asia
PH0145-CW,1031-PF-SEA-PLOWE,Cambodia,Battambang,2008,ERR036585,varDB,Asia
PH0146-CW,1031-PF-SEA-PLOWE,Cambodia,Battambang,2009,ERR036586,varDB,Asia
PH0147-CW,1031-PF-SEA-PLOWE,Cambodia,Battambang,2009,ERR036587,varDB,Asia
PH0148-CW,1031-PF-SEA-PLOWE,Cambodia,Battambang,2008,ERR036588,varDB,Asia
PH0149-CW,1031-PF-SEA-PLOWE,Cambodia,Battambang,2009,ERR036590,varDB,Asia
PH0150-CW,1031-PF-SEA-PLOWE,Cambodia,Battambang,2008,ERR036591,varDB,Asia
PH0151-CW,1031-PF-SEA-PLOWE,Cambodia,Battambang,2008,ERR036592,varDB,Asia
PH0153-CW,1031-PF-SEA-PLOWE,Cambodia,Battambang,2009,ERR036594,varDB,Asia
PH0155-C,1031-PF-SEA-PLOWE,Cambodia,Battambang,2009,ERR022905,varDB,Asia
PH0156-C,1031-PF-SEA-PLOWE,Cambodia,Battambang,2009,ERR022854,varDB,Asia
PH0157-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR023033,varDB,Asia
PH0161-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR023034,varDB,Asia
PH0163-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR023035,varDB,Asia
PH0164-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR023036,varDB,Asia
PH0165-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR023037,varDB,Asia
PH0167-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR023170,varDB,Asia
PH0169-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR027089,varDB,Asia
PH0171-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR027090,varDB,Asia
PH0172-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR022923,varDB,Asia
PH0173-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR023038,varDB,Asia
PH0191-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR022924,varDB,Asia
PH0192-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR022925,varDB,Asia
PH0193-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR022926,varDB,Asia
PH0194-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR022927,varDB,Asia
PH0195-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR022928,varDB,Asia
PH0196-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR022929,varDB,Asia
PH0197-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR022930,varDB,Asia
PH0198-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR023029,varDB,Asia
PH0199-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR023030,varDB,Asia
PH0200-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR023031,varDB,Asia
PH0201-C,1044-PF-KH-FAIRHURST,Cambodia,Ratanakiri,2010,ERR033026,varDB,Asia
PH0203-C,1044-PF-KH-FAIRHURST,Cambodia,Ratanakiri,2010,ERR033027,varDB,Asia
PH0204-C,1044-PF-KH-FAIRHURST,Cambodia,Ratanakiri,2010,ERR033028,varDB,Asia
PH0205-C,1044-PF-KH-FAIRHURST,Cambodia,Ratanakiri,2010,ERR033029,varDB,Asia
PH0206-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR034093,varDB,Asia
PH0207-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR033030,varDB,Asia
PH0208-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR033037,varDB,Asia
PH0209-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR034095,varDB,Asia
PH0210-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR033032,varDB,Asia
PH0211-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR033033,varDB,Asia
PH0212-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR034094,varDB,Asia
PH0213-C,1044-PF-KH-FAIRHURST,Cambodia,Pursat,2010,ERR033034,varDB,Asia
