,sequence_id,mds_3d,mds_3d_x,mds_3d_y,mds_3d_z
1547,PT0084-C.g789,"[374.58984159696234, 1204.741143785819, -475.97697119155765]",374.58984159696234,1204.741143785819,-475.97697119155765
1567,PT0104-C.g389,"[-651.948160186592, -985.1874411576898, -0.07840324791754409]",-651.948160186592,-985.1874411576898,-0.07840324791754409
1574,PT0117-C.g1241,"[1319.8855358477176, -676.2097822919673, 345.17665027730857]",1319.8855358477176,-676.2097822919673,345.17665027730857
1582,PT0129-C.g855,"[585.8965601284885, -109.32944352117691, -806.014350040766]",585.8965601284885,-109.32944352117691,-806.014350040766
1589,PT0141-C.g1211,"[1120.993564717823, -1030.9125710847957, -156.76984171832498]",1120.993564717823,-1030.9125710847957,-156.76984171832498
1611,PT0175-C.g1717,"[626.4455727638222, -307.3682172224083, 1362.3560806293485]",626.4455727638222,-307.3682172224083,1362.3560806293485
1616,PT0181-C.g1444,"[1122.210182821186, 1352.979989945166, -468.76766204727267]",1122.210182821186,1352.979989945166,-468.76766204727267
1617,PT0181-C.g1754,"[-505.7677823750037, 598.9615352613735, 120.4849955567448]",-505.7677823750037,598.9615352613735,120.4849955567448
1620,PT0184-C.g4299,"[1220.3045507127968, -597.1723426108846, -541.3709009458757]",1220.3045507127968,-597.1723426108846,-541.3709009458757
1621,PT0187-C.g365,"[1061.279259238098, 638.8774490006272, 319.4679447674773]",1061.279259238098,638.8774490006272,319.4679447674773
1631,PT0199-C.g151,"[1572.2605338982685, -257.71422312765196, 45.23998597442042]",1572.2605338982685,-257.71422312765196,45.23998597442042
1664,PT0226-Cx.g344,"[-693.8319330904726, -534.2882392847831, -734.161594661913]",-693.8319330904726,-534.2882392847831,-734.161594661913
1667,PT0230-Cx.g314,"[-1161.4078537521452, -595.2793092186787, -57.000229442590594]",-1161.4078537521452,-595.2793092186787,-57.000229442590594
1680,PT0248-Cx.g194,"[-237.98856109674995, -930.6688796800379, 887.4146022656215]",-237.98856109674995,-930.6688796800379,887.4146022656215
1681,PT0248-Cx.g333,"[-672.6852335870473, 458.0622344776057, -967.2268261834622]",-672.6852335870473,458.0622344776057,-967.2268261834622
1682,PT0248-Cx.g828,"[938.4483479773604, 670.589139875526, 1003.55504459455]",938.4483479773604,670.589139875526,1003.55504459455
1690,PT0261-Cx.g1127,"[-2.5680858800561936, 1363.8706003379618, -216.65289468279897]",-2.5680858800561936,1363.8706003379618,-216.65289468279897
1723,PV0014-C.g17,"[831.2381783600233, -117.16760860029231, -22.48410522664125]",831.2381783600233,-117.16760860029231,-22.48410522664125
1726,PV0015-C.g293,"[-345.3936624773776, -29.380742462661797, 981.237487539894]",-345.3936624773776,-29.380742462661797,981.237487539894
1738,PV0046-C.g51,"[-91.77096128607039, 266.8941734755154, 732.3942818414184]",-91.77096128607039,266.8941734755154,732.3942818414184
1756,PV0127-C.g11,"[236.99839247211173, 636.7147086680533, 670.1080005028991]",236.99839247211173,636.7147086680533,670.1080005028991
1764,PV0139-C.g39,"[620.1420873411739, -475.80919672074276, -57.33689819568253]",620.1420873411739,-475.80919672074276,-57.33689819568253
