,sequence_id,mds_3d,mds_3d_x,mds_3d_y,mds_3d_z
45,PA0148-C.g626,"[-194.719321796132, 1445.6810873591394, -587.140260415164]",-194.719321796132,1445.6810873591394,-587.140260415164
46,PA0153-C.g955,"[11.163918239560498, -436.8979487998493, -1414.1664203669754]",11.163918239560498,-436.8979487998493,-1414.1664203669754
47,PA0161-C.g102,"[49.786155946606, 494.6607202377383, 802.290650869723]",49.786155946606,494.6607202377383,802.290650869723
48,PA0161-C.g212,"[292.9906926283187, -1206.7990281322566, 192.6386092928876]",292.9906926283187,-1206.7990281322566,192.6386092928876
49,PA0167-C.g590,"[180.1719680297585, -400.0024995013775, 1242.2624769870524]",180.1719680297585,-400.0024995013775,1242.2624769870524
50,PA0168-C.g741,"[-695.2654046899565, 233.25965526513576, -1460.3792650361536]",-695.2654046899565,233.25965526513576,-1460.3792650361536
51,PA0172-C.g25,"[-937.6339465246663, -772.9097733386135, -460.2983561697673]",-937.6339465246663,-772.9097733386135,-460.2983561697673
52,PA0173-C.g67,"[765.1805479395834, 460.13955815576736, -1212.060280772556]",765.1805479395834,460.13955815576736,-1212.060280772556
53,PA0177-C.g767,"[532.6455516864196, 1385.9819141120886, -344.03027678198157]",532.6455516864196,1385.9819141120886,-344.03027678198157
54,PA0179-C.g542,"[495.5509272710741, -754.2473314390884, 1151.900385250328]",495.5509272710741,-754.2473314390884,1151.900385250328
55,PA0185-C.g146,"[23.43994584281608, -339.3849274133931, 806.6904413140082]",23.43994584281608,-339.3849274133931,806.6904413140082
56,PA0195-C.g193,"[-273.7571992461431, 842.2685287521931, 657.237316719484]",-273.7571992461431,842.2685287521931,657.237316719484
57,PA0195-C.g794,"[-644.3145404925303, 1429.811642586877, -112.5334755225256]",-644.3145404925303,1429.811642586877,-112.5334755225256
58,PA0197-C.g162,"[-372.69227100544083, 788.1704550638124, -271.8564637841521]",-372.69227100544083,788.1704550638124,-271.8564637841521
59,PA0198-C.g636,"[1109.0328617436924, 1404.7520478773413, -1001.6272284621484]",1109.0328617436924,1404.7520478773413,-1001.6272284621484
60,PA0201-C.g759,"[-476.50777383829546, 318.1287885205771, -1247.859971648889]",-476.50777383829546,318.1287885205771,-1247.859971648889
61,PA0204-C.g109,"[879.7973111265911, -285.5135542362612, -860.2520076779942]",879.7973111265911,-285.5135542362612,-860.2520076779942
62,PA0204-C.g255,"[699.926144741735, -86.86733527293038, 890.2077007068239]",699.926144741735,-86.86733527293038,890.2077007068239
63,PA0207-C.g199,"[636.9084297215367, 518.213622906755, -126.51443408048773]",636.9084297215367,518.213622906755,-126.51443408048773
64,PA0210-C.g393,"[254.46108374726822, 867.8183865706038, 62.27602598548159]",254.46108374726822,867.8183865706038,62.27602598548159
65,PA0213-C.g1327,"[-472.0862948482755, 952.0217114161885, -1219.1617812891961]",-472.0862948482755,952.0217114161885,-1219.1617812891961
66,PA0213-C.g139,"[1006.012989194345, 640.303992076675, -107.3018589757918]",1006.012989194345,640.303992076675,-107.3018589757918
