genome,sequence_id,Country,Region
SenT013.11,SenT013.11.g811,Senegal,WAF
SenT015.11,SenT015.11.g821,Senegal,WAF
SenT022.11,SenT022.11.g763,Senegal,WAF
SenT045.11,SenT045.11.g358,Senegal,WAF
SenT052.11,SenT052.11.g170,Senegal,WAF
SenT053.11,SenT053.11.g521,Senegal,WAF
SenT055.11,SenT055.11.g507,Senegal,WAF
SenT058.11,SenT058.11.g23,Senegal,WAF
SenT072.11,SenT072.11.g789,Senegal,WAF
SenT077.11,SenT077.11.g109,Senegal,WAF
SenT077.11,SenT077.11.g122,Senegal,WAF
SenT092.08,SenT092.08.g2190,Senegal,WAF
SenT105.07,SenT105.07.g387,Senegal,WAF
SenT113.09,SenT113.09.g112,Senegal,WAF
SenT113.09,SenT113.09.g19,Senegal,WAF
SenT120.11,SenT120.11.g794,Senegal,WAF
SenT129.11,SenT129.11.g1161,Senegal,WAF
SenT130.09,SenT130.09.g383,Senegal,WAF
SenT133.11,SenT133.11.g950,Senegal,WAF
SenT136.09,SenT136.09.g1103,Senegal,WAF
SenT139.11,SenT139.11.g775,Senegal,WAF
SenT142.11,SenT142.11.g817,Senegal,WAF
SenT151.08,SenT151.08.g523,Senegal,WAF
SenT165.09,SenT165.09.g650,Senegal,WAF
SenT184.09,SenT184.09.g329,Senegal,WAF
SenT187.09,SenT187.09.g216,Senegal,WAF
SenT230.08,SenT230.08.g702,Senegal,WAF
SenT231.08,SenT231.08.g419,Senegal,WAF
SenT232.08,SenT232.08.g426,Senegal,WAF
SenT233.08,SenT233.08.g1006,Senegal,WAF
SenV042.05,SenV042.05.g45,Senegal,WAF
SenV092.05,SenV092.05.g41,Senegal,WAF
